,,,,,,,,,,,,
Document linking code,"Date
","Case Name or Number
[Docket Number]","Expert Presence
[Tag]","Who was the expert instructed by?
[Tag]",Court,Jurisdiction,"Online link to the judgment
[Url]","Keywords
[Tag]","Area of law
[Tag]",Summary,Language,Comments
MT001,2019.02.28,509/2018/LSO,written report,,Qorti Civili Prim' Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=115705,Russian migrants; birth certificate; name; surname; female; Russian custom; public Registry,administrative law,"A Russian couple residing in Malta opened a court case against the Director of Public Registry to change the surname of their daughter. When they had registered the birth of their daughter before the Public Registry a few years earlier, they were told that their daughter must be registered with the father's surname as the established common practice in Malta. The parents however opened a case claiming that they want to rectify an error made by the Director on the birth certificate of their daughter because in Russia, surnames of females are customarily added an ""-a"" at the end to reflect their gender as females. Several family members as well as the Russian Ambassador were asked to testify to this cultural practice claiming that it was in the best interest of the child to have her surname reflect her female gender. The court concluded that the fact that the daughter was given the surname of the father by the Public Registry did not amount to an error. Nonetheless it accepted the arguments made in favour of amending the minor's surname to follow Russian custom and ordered all official documents to reflect this change.",Maltese,
MT001ER,2018.11.21,509/2018/LSO,written report,expert appointed by the parties,Qorti Civili Prim' Awla,Malta,,Affidavit; Russian migrants; surnames,administrative law,"The attaché of the Russian Ambassador in Malta provided a sworn affidavit testifying that registration of Russian surnames are gendered; that is, that surnames of females are customarily added an ""-a"" at the end to reflect their gender as females. He added that following this custom is in the best interest of minors due to the legal and social implications.",English,
MT002,2013.04.30,976/2005,,,Qorti Civili Prim' Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=80607,Oktoberfest; commercial; feast; event; German; trademark; beer,intellectual and patent law,"The defendant company organises an event by the name 'Lowenbrau Oktoberfest.' It successfully made a warrant of prohibitory injunction to stop the plaintiffs, a group of beer manufacturers, from organising an event during the same period by the name of Oktoberfest. The defendant company claimed that it had been using the word for longer and that using the same word would confuse the general public. The plaintiffs initiated a court action claiming that Oktoberfest, a term associated with the German culture and event of beer-drinking, cannot be monopolised. The court entered into a discussion on trademarks. It argued that it is accepted by the relevant jurisprudence that although common words in general vocabulary cannot be monopolised by anyone, if a word, including a common one, has acquired an indication of the quality of the goods as well as their origin, and is known as such in the local trade, then no other trader may use that word. Nonetheless, the court decided that in this case the term Oktoberfest is internationally known and linked to beer-drinking German culture and that in the local market it did not acquire any secondary meaning to deserve any special protection. Therefore, all parties could use the term to advertise their event.",Maltese,
MT003,2019.02.28,274/2018/LSO,,,Qorti Civili Prim' Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=115704,Muslim culture; name; birth certificate; Public Registry,administrative law,"A Libyan couple residing in Malta opened a court case against the Director of Public Registry and the Attorney General to change the name of their daughter as well as to include the fathers' first and middle name as the child's second and third given name. They claimed that the uncle of the child who had registered the birth of the newborn at the Public Registry had misunderstood the name and the uncle confirmed this account. Moreover, the parents argued that leaving the child with what they now learnt is a boy's name will prejudice their daughter. The parents also claimed that in Muslim countries it is culturally normal for the children to also have the father's name as part of their full name and that they therefore expected that this would be the case in Malta too. The court accepted that through the evidence brought forward by the claimants, the daughter was already known by the names that the parents wished to give her and therefore, without entering further into detail on the cultural naming trends in the parent’s country of origin, the court concluded that all official documents shall be amended to reflect the name that the daughter is already known by.",Maltese,
MT004ER,2019.12.02,,written report,expert appointed by the parties,Kummissarju għar-Refuġjati,Malta,,Sudan; SPLM-North; political opinion; FGM; activism; Country report,refugee and Asylum,"The applicant had applied for asylum in Malta and was rejected, both by the Refugee Commissioner and the Refugee Appeals Board. The applicant then filed a subsequent application on the basis of new findings including a report by a cultural expert. The applicant claims to have an actual and well-founded fear of persecution should she be returned to her country of origin, Sudan. She fears arrest, imprisonment and torture should she be returned on the basis of her actual and imputed political opinion. Moreover, she also fears that female genital mutilation (FGM) would be inflicted on her daughter. An arrest warrant had been issued in her name and her husband had been detained and injured for some months in order for him to disclose her whereabouts. The applicant claims that she is an active part of the leadership of the Sudan People's Liberation Movement -North (SPLM-N), of which she has been a member since 2005; at a time when the party was known as the Sudan People's Liberation Movement (SPLM). The cultural expert writes a report about his interview with the applicant and discuses SPLM-N; an active political party and opposition movement whose main aim is to fight for freedom, equality, female liberation, and against discrimination, especially discrimination based on religious identity. He agrees that following the revolution in Sudan, it is still in a state of revolt against the Government. The expert corroborates the applicant's version of events and assesses her credibility. He provides various thematic research and concludes that the applicant is credible. The applicant was granted Refugee Status.",English,Do not publish
MT005,2016.12.25,251/14RGM,,,Qorti Civili (Sezzjoni tal-Familja),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=99257,Thai tradition; marriage; dissolution of marriage; separation; dowry; community of acquests; separation of assets,Family law,"The plaintiff is a Maltese husband requesting a dissolution of marriage and division of assets from his Thai wife, the defendant, claiming that their married life had become impossible and that she is the sole cause for the failed marriage which involved, inter alia, violence, abandonment, bad treatment, threats and cruelty from her side. The absent wife on the other hand, who had left Malta altogether and was living in Thailand, was represented throughout the proceedings by a lawyer and a legal procurator who acted as her curator. The husband also requested restitution of the dowry paid to the defendant’s parents, the paraphernal property and all court expenses by the defendant. In his note of submissions, the defendant’s lawyer claimed that despite various attempts to reach her, he was unable to communicate with her. The plaintiff argued that the dowry included a sum of €12,110.01 demanded by the wife’s parents, as per supposed Thai tradition. The plaintiff claimed that although this had created friction between them, he paid the requested sum because had read online that it would be returned to the couple after marriage. The plaintiff demanded the restitution of the portion of the dowry that was not used to cover the couples’ wedding expenses. The husband also requested the acquisition of the car which he bought during the marriage and thus formed part of the community of acquests but which he had paid alone for in its entirety. In its judgement the court seconded the plaintiff’s requests to attribute the causes for the marriage dissolution entirely on the defendant and to award him the car bought during the marriage as his property. However, the court refused to husband’s request in relation to the dowry arguing that the dowry as per Thai culture was given by the husband to the wife’s parents, whilst the proceeding had been lodged by the husband against the wife only.",Maltese,
MT006,2018.02.15,221/15RGM,,,Qorti Civili (Sezzjoni tal-Familja),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=110314,Marriage; annulment; Ertirean; Ethiopian; fraud; exhorted consent; Orthodox christian; children; consummation; matrimonial life,Family law,"The husband, Eritrean, initiated proceedings against his Ethiopian wife claiming that they were de facto separated and requesting that their marriage be declared null. The couple married after knowing each other for three months. Although both being Christian Orthodox, they agreed to celebrate a civil marriage only. The husband claimed that his wife never had the intention to have a matrimonial life with him and that therefore, his consent to the marriage is extorted by fraud. He said that only once they were married, did he learn that his wife had children in Ethiopia and that she did not wish to have more children. He admitted that they never discussed having children before marriage as it is also not common to do so in Eritrean culture and the desire for children once married is taken for granted. Additionally, the couple never consummated their marriage. The wife on the other hand claimed that in their religion, sexual relationships outside of marriage are prohibited but once they were married, she realised that their relationship was not going well and so she anyway did not wish any sexual contact. The court went into a discussion on the various grounds for annulment established at law, stating that the fact that the wife already had children, objectively, at least in the Maltese culture, is not in its nature sufficiently serious so as to disrupt matrimonial life. Nonetheless, the court added that it must be analysed from the perspective of the parties’ culture and religion and from the point of view of the party alleging deception. The court said, in the case at hand, the defendant admitted not telling her husband about her child in Ethiopia prior to the celebration of marriage because she feared repercussions. The court further added that although it was sufficiently proven that the parties did not consummate the marriage, which is a valid ground of annulment in Maltese law, the parties did not request annulment on this ground. The court nonetheless annulled the marriage concluding that it was sufficiently proven that the consent of the husband was exhorted by fraud.",Maltese,
MT007,2015.12.10,19/13RGM,,,Qorti Civili (Sezzjoni tal-Familja),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=97923,Marriage; Syrian; annulment; mixed couple; serious defect of discretion; consummation; matrimonial life,family law,"The husband, a Syrian national, initiated proceedings against his Maltese wife requesting the annulment of an eight-year marriage celebrated in Syria, later registered in Malta, on the basis that it was never consummated, despite a period of cohabitation. He claimed the non-consummation was exclusively due to his wife’s will. The husband recounted how in Syrian culture it often happens that a marriage is carried out after a short period of acquaintance; sometimes only after a few days. He claimed a friend, proficient in both Arabic and Maltese, made the necessary arrangements for his wife, at the time seventeen years of age, to travel to his small village in Syria. There was a language barrier between them, but the friend acted as an interpreter. After celebrating a Syria wedding, the newlyweds went to live with the husband’s relatives consisting also of the extended family. He stressed they were not intimate. The defendant then left for Malta to prepare the necessary bureaucratic arrangements for her husband’s arrival to Malta. Upon his arrival six months later, they lived with the wife’s parents but soon sought their own accommodation. At this point, he realised that his wife had little interest in family life or house chores, went out a lot also in the company of men. In her version of events, the wife mostly confirmed the husband’s version of events, claiming she was too young when they married. The court rejected parties’ claims that the marriage was to be annulled on the ground that it was not consummated because the request for annulment was filed eight years after marriage as well as various credibility issues with both of their version of events. Nonetheless, without entering into the cultural aspect of marriages and short courtships in Syria, the court concluded that the marriage was brought about by immaturity and impulsiveness of the defendant who went to Syria after knowing someone online for three months and decided that the marriage was vitiated by a serious defect of discretion of judgement on the matrimonial life.",Maltese,
MT008,2015.11.05,1244/2011SM,,,Qorti Civili Prim' Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=97376,Russian tradition; Orthodox Christmas; insurance claim; robbery; stolen valuables,insurance law,"A married Maltese-Russian couple opened a court case against an insurance company in relation to a robbery against them when they were in Russia. The spouses travelled from Malta to the wife’s Russian hometown to spend the Christmas period with her family. They however were robbed with damages amounting to 14,722 Euro. Of a particular value were a diamond ring and some fur. The couple had purposely bought a home insurance policy to ensure that these valuables would be covered in the case of theft. The wife had carried them in the luggage because it was deemed unsafe to move around with these objects on display. Nevertheless, the plaintiffs claimed it was necessary to travel with these items. They justified it on the basis that Russian Orthodox Christian tradition demanded that the best and most valuable clothing are worn during the Christmas celebrations. The insurance company, albeit compensating the couple for the loss of all the other personal possessions in the stolen luggage, refused to compensate the couple for these two objects of value. The court rejected the insurance company’s claims that the policy was inapplicable due to the geographical nature of their voyage and because Russia was not part of Europe concluding that Russia is a Euro-Asian country and is also a member of the Council of Europe. Moreover, the court rejected the insurance company’s claim that the policy was only in the husband’s name and that the valuables belonged to the wife because they were bought during marriage and thus pertained to both spouses. The court ordered the insurance company to compensate the plaintiffs and court expenses.",Maltese,
MT009,2009.03.20,419/1995,,,Qorti tal-Magistrati (Malta) bhala Qorti ta' Gudikatura Kriminali,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=54160,village feast; religious procession; local tradition; resisting arrest; intoxication,criminal law,"The police charged five men of threatening or causing bodily harm to a police officer on duty, disobeying legitimate orders of an authority, forcefully resisting arrest, being in a state of intoxication and obscene offending public morality, propriety or decency, wilfully disturbing public peace, inter alia. The incident related to the defendants’ religious village feast. The prosecutor explained that it was considered a yearly tradition for frequenters, of both the political party club and the football supporters club in close proximity of where the procession band passed, to lie on the floor in front of the moving bandsmen to grind them to a halt. The tradition, explained the police, is that the people would lay on the floor until the police intervene and physically move them out of the way. On this occasion however, the accused, some of which were relatives, ended up being arrested after being aggressive, pushing and kicking the police which resulted in a commotion. The prosecutors claimed that the accused went further than tradition by insisting on staying on the floor and disrupting the procession. The court found four out of the five accused guilty of some or all of the accusations brought against them.",Maltese,
